Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,66,658466,10
,"Jefferson County, AL",1073,Assault by unspecified means,Y09,11,658466,Unreliable
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,15,334811,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,37,412992,9
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,16,229363,Unreliable
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,10,194656,Unreliable
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,12,291826,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,158,3817117,4.1
,"Maricopa County, AZ",4013,Assault by sharp object,X99,21,3817117,0.6
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,31,3817117,0.8
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,46,980263,4.7
,"Pima County, AZ",4019,Assault by unspecified means,Y09,13,980263,Unreliable
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,375770,Unreliable
,"Mississippi County, AR",5093,Assault by other and unspecified firearm discharge,X95,11,46480,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,382748,7.3
,"Alameda County, CA",6001,Assault by handgun discharge,X93,43,1510271,2.8
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,55,1510271,3.6
,"Alameda County, CA",6001,Assault by sharp object,X99,12,1510271,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,44,1049025,4.2
,"Contra Costa County, CA",6013,Assault by sharp object,X99,10,1049025,Unreliable
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,35,930450,3.8
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,49,839631,5.8
,"Kern County, CA",6029,Assault by sharp object,X99,12,839631,Unreliable
,"Kern County, CA",6029,Assault by unspecified means,Y09,13,839631,Unreliable
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,16,9818605,Unreliable
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,79,9818605,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,16,9818605,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,412,9818605,4.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,56,9818605,0.6
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,41,9818605,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9818605,Unreliable
,"Merced County, CA",6047,Assault by other and unspecified firearm discharge,X95,19,255793,Unreliable
,"Monterey County, CA",6053,Assault by handgun discharge,X93,27,415057,6.5
,"Orange County, CA",6059,Assault by handgun discharge,X93,24,3010232,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,19,3010232,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,45,2189641,2.1
,"Riverside County, CA",6065,Assault by sharp object,X99,12,2189641,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,12,1418788,Unreliable
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,44,1418788,3.1
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1418788,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,64,2035210,3.1
,"San Bernardino County, CA",6071,Assault by sharp object,X99,20,2035210,1
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,20,2035210,1
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,24,3095313,0.8
,"San Diego County, CA",6073,Assault by sharp object,X99,16,3095313,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,16,3095313,Unreliable
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,32,805235,4
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,39,685306,5.7
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,17,718451,Unreliable
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,14,1781642,Unreliable
,"Solano County, CA",6095,Assault by handgun discharge,X93,10,413344,Unreliable
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,10,413344,Unreliable
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,12,514453,Unreliable
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,28,442179,6.3
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,15,572003,Unreliable
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,14,600158,Unreliable
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,15,622263,Unreliable
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,26,916829,2.8
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,36,894014,4
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,32,862477,3.7
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,33,538479,6.1
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,82,601723,13.6
,"District of Columbia, DC",11001,Assault by sharp object,X99,14,601723,Unreliable
,"Alachua County, FL",12001,Assault by other and unspecified firearm discharge,X95,11,247336,Unreliable
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,17,543376,Unreliable
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,53,1748066,3
,"Broward County, FL",12011,Assault by unspecified means,Y09,14,1748066,Unreliable
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,74,864263,8.6
,"Escambia County, FL",12033,Assault by other and unspecified firearm discharge,X95,17,297619,Unreliable
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,32,1229226,2.6
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,164,2496435,6.6
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,22,2496435,0.9
