Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,14,116211,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,97,655163,14.8
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,19,315859,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,18,405715,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,34,405715,8.4
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,38,227888,16.7
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,15,184350,Unreliable
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,10,278792,Unreliable
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,11,3711954,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,11,3711954,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,238,3711954,6.4
,"Maricopa County, AZ",4013,Assault by sharp object,X99,27,3711954,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,45,3711954,1.2
,"Mohave County, AZ",4015,Assault by other and unspecified firearm discharge,X95,10,199760,Unreliable
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,42,955869,4.4
,"Pima County, AZ",4019,Assault by unspecified means,Y09,15,955869,Unreliable
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,306174,Unreliable
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,11,78788,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,54,373403,14.5
,"Pulaski County, AR",5119,Assault by unspecified means,Y09,12,373403,Unreliable
,"Alameda County, CA",6001,Assault by handgun discharge,X93,60,1455715,4.1
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,14,1455715,Unreliable
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,49,1455715,3.4
,"Alameda County, CA",6001,Assault by sharp object,X99,15,1455715,Unreliable
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,16,1009152,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,74,1009152,7.3
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,52,895933,5.8
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,39,803281,4.9
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,12,9700359,Unreliable
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,69,9700359,0.7
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,21,9700359,0.2
