Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,89,657513,13.5
,"Jefferson County, AL",1073,Assault by sharp object,X99,11,657513,Unreliable
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,14,291342,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,17,398082,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,10,398082,Unreliable
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,17,222680,Unreliable
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,10,270568,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,11,3328468,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,223,3328468,6.7
,"Maricopa County, AZ",4013,Assault by sharp object,X99,24,3328468,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,50,3328468,1.5
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,47,885893,5.3
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,11,82193,Unreliable
,"Pulaski County, AR",5119,Assault by handgun discharge,X93,12,365258,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,31,365258,8.5
,"Alameda County, CA",6001,Assault by handgun discharge,X93,69,1454163,4.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,27,1454163,1.9
,"Alameda County, CA",6001,Assault by sharp object,X99,10,1454163,Unreliable
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,20,987531,2
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,45,987531,4.6
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,38,847193,4.5
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,21,714272,2.9
,"Kern County, CA",6029,Assault by sharp object,X99,10,714272,Unreliable
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,26,9767145,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,85,9767145,0.9
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,19,9767145,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,757,9767145,7.8
,"Los Angeles County, CA",6037,Assault by sharp object,X99,71,9767145,0.7
,"Los Angeles County, CA",6037,By unspecified person,Y07.9,12,9767145,Unreliable
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,58,9767145,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,18,9767145,Unreliable
,"Monterey County, CA",6053,Assault by handgun discharge,X93,12,409725,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,23,2929376,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,20,2929376,0.7
,"Orange County, CA",6059,Assault by sharp object,X99,13,2929376,Unreliable
,"Riverside County, CA",6065,Assault by handgun discharge,X93,20,1771656,1.1
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,46,1771656,2.6
,"Riverside County, CA",6065,Assault by sharp object,X99,12,1771656,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,20,1328531,1.5
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,35,1328531,2.6
,"Sacramento County, CA",6067,Assault by sharp object,X99,15,1328531,Unreliable
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,11,1328531,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,112,1846115,6.1
,"San Bernardino County, CA",6071,Assault by sharp object,X99,14,1846115,Unreliable
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,13,1846115,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,80,2914702,2.7
,"San Diego County, CA",6073,Assault by sharp object,X99,17,2914702,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,22,2914702,0.8
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,35,766160,4.6
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,33,626778,5.3
,"San Joaquin County, CA",6077,Assault by unspecified means,Y09,10,626778,Unreliable
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,21,693057,3
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,17,1663592,Unreliable
,"Santa Clara County, CA",6085,Assault by sharp object,X99,13,1663592,Unreliable
,"Sonoma County, CA",6097,Assault by unspecified means,Y09,10,466489,Unreliable
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,13,487357,Unreliable
