Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,13,117274,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,88,656510,13.4
,"Jefferson County, AL",1073,Assault by unspecified means,Y09,11,656510,Unreliable
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,11,323526,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,12,409196,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,43,409196,10.5
,"Mobile County, AL",1097,Assault by unspecified means,Y09,10,409196,Unreliable
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,21,227461,9.2
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,16,188093,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,16,3771061,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,197,3771061,5.2
,"Maricopa County, AZ",4013,Assault by sharp object,X99,32,3771061,0.8
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,34,3771061,0.9
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,72,967778,7.4
,"Pima County, AZ",4019,Assault by unspecified means,Y09,11,967778,Unreliable
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,12,78354,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,42,376567,11.2
,"Pulaski County, AR",5119,Assault by unspecified means,Y09,11,376567,Unreliable
,"Alameda County, CA",6001,Assault by handgun discharge,X93,59,1477208,4
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,15,1477208,Unreliable
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,61,1477208,4.1
,"Alameda County, CA",6001,Assault by sharp object,X99,11,1477208,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,59,1023344,5.8
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,44,909630,4.8
,"Fresno County, CA",6019,Assault by unspecified means,Y09,11,909630,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,24,818327,2.9
,"Kern County, CA",6029,Assault by unspecified means,Y09,15,818327,Unreliable
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,15,9735147,Unreliable
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,104,9735147,1.1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,18,9735147,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,524,9735147,5.4
,"Los Angeles County, CA",6037,Assault by sharp object,X99,77,9735147,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,47,9735147,0.5
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,26,9735147,0.3
,"Monterey County, CA",6053,Assault by handgun discharge,X93,15,406022,Unreliable
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,13,406022,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,24,2957593,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,16,2957593,Unreliable
,"Orange County, CA",6059,Assault by sharp object,X99,10,2957593,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,57,2109712,2.7
,"Riverside County, CA",6065,Assault by sharp object,X99,13,2109712,Unreliable
,"Riverside County, CA",6065,Assault by unspecified means,Y09,10,2109712,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,20,1394438,1.4
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,35,1394438,2.5
,"Sacramento County, CA",6067,Assault by sharp object,X99,14,1394438,Unreliable
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,10,1394438,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,73,2003735,3.6
,"San Bernardino County, CA",6071,Assault by sharp object,X99,21,2003735,1
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,10,2003735,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,42,3022116,1.4
,"San Diego County, CA",6073,Assault by sharp object,X99,17,3022116,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,20,3022116,0.7
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,56,791152,7.1
