Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,74,658441,11.2
,"Lauderdale County, AL",1077,Assault by other and unspecified firearm discharge,X95,10,92526,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,16,411994,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,23,411994,5.6
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,26,227607,11.4
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,127,3803779,3.3
,"Maricopa County, AZ",4013,Assault by sharp object,X99,34,3803779,0.9
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,38,3803779,1
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,34,975580,3.5
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,14,349830,Unreliable
,"Garland County, AR",5051,Assault by other and unspecified firearm discharge,X95,10,95840,Unreliable
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,15,77759,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,35,380053,9.2
,"Alameda County, CA",6001,Assault by handgun discharge,X93,41,1498539,2.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,58,1498539,3.9
,"Alameda County, CA",6001,Assault by sharp object,X99,12,1498539,Unreliable
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,13,1037890,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,63,1037890,6.1
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,46,921478,5
,"Fresno County, CA",6019,Assault by sharp object,X99,12,921478,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,56,830137,6.7
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,24,9787400,0.2
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,100,9787400,1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,13,9787400,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,432,9787400,4.4
,"Los Angeles County, CA",6037,Assault by sharp object,X99,69,9787400,0.7
,"Los Angeles County, CA",6037,Assault by other specified means,Y08,10,9787400,Unreliable
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,40,9787400,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,17,9787400,Unreliable
,"Monterey County, CA",6053,Assault by handgun discharge,X93,34,410263,8.3
,"Orange County, CA",6059,Assault by handgun discharge,X93,21,2987177,0.7
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,25,2987177,0.8
,"Orange County, CA",6059,Assault by sharp object,X99,10,2987177,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,47,2146725,2.2
,"Riverside County, CA",6065,Assault by sharp object,X99,14,2146725,Unreliable
,"Riverside County, CA",6065,Assault by unspecified means,Y09,15,2146725,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,16,1408601,Unreliable
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,32,1408601,2.3
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,83,2013960,4.1
,"San Bernardino County, CA",6071,Assault by sharp object,X99,16,2013960,Unreliable
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,14,2013960,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,44,3061203,1.4
,"San Diego County, CA",6073,Assault by sharp object,X99,20,3061203,0.7
,"San Diego County, CA",6073,Assault by unspecified means,Y09,15,3061203,Unreliable
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,20,801922,2.5
,"San Joaquin County, CA",6077,Assault by handgun discharge,X93,25,677736,3.7
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,17,677736,Unreliable
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,12,713617,Unreliable
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,24,1765137,1.4
,"Santa Clara County, CA",6085,Assault by sharp object,X99,11,1765137,Unreliable
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,21,410290,5.1
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,19,511536,Unreliable
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,21,436987,4.8
