Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,10,662047,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,70,662047,10.6
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,18,399843,Unreliable
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,25,223510,11.2
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,11,164875,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,12,3072149,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,156,3072149,5.1
,"Maricopa County, AZ",4013,Assault by sharp object,X99,32,3072149,1
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,18,3072149,Unreliable
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,65,843746,7.7
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,24,361474,6.6
,"Alameda County, CA",6001,Assault by handgun discharge,X93,58,1443741,4
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,32,1443741,2.2
,"Alameda County, CA",6001,Assault by sharp object,X99,12,1443741,Unreliable
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,14,948816,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,26,948816,2.7
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,21,799407,2.6
,"Fresno County, CA",6019,Assault by sharp object,X99,12,799407,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,26,661645,3.9
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,25,9519338,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,105,9519338,1.1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,17,9519338,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,680,9519338,7.1
,"Los Angeles County, CA",6037,Assault by sharp object,X99,82,9519338,0.9
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,46,9519338,0.5
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,14,9519338,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,16,2846289,Unreliable
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,12,2846289,Unreliable
,"Orange County, CA",6059,Assault by sharp object,X99,12,2846289,Unreliable
,"Riverside County, CA",6065,Assault by handgun discharge,X93,23,1545387,1.5
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,30,1545387,1.9
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,33,1223499,2.7
,"San Bernardino County, CA",6071,Assault by handgun discharge,X93,12,1709434,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,79,1709434,4.6
