Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,12,114477,Unreliable
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,11,654919,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,88,654919,13.4
,"Jefferson County, AL",1073,Assault by sharp object,X99,10,654919,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,27,398942,6.8
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,28,223608,12.5
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,14,276494,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,13,3538988,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,254,3538988,7.2
,"Maricopa County, AZ",4013,Assault by sharp object,X99,23,3538988,0.6
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,34,3538988,1
,"Mohave County, AZ",4015,Assault by other and unspecified firearm discharge,X95,10,188773,Unreliable
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,48,920298,5.2
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,19,235708,Unreliable
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,14,80562,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,37,368274,10
,"Alameda County, CA",6001,Assault by handgun discharge,X93,55,1441545,3.8
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,15,1441545,Unreliable
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,28,1441545,1.9
,"Alameda County, CA",6001,Assault by sharp object,X99,18,1441545,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,58,999013,5.8
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,53,872470,6.1
,"Fresno County, CA",6019,Assault by sharp object,X99,14,872470,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,36,760726,4.7
,"Kern County, CA",6029,Assault by sharp object,X99,10,760726,Unreliable
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,20,9786373,0.2
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,95,9786373,1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,23,9786373,0.2
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,756,9786373,7.7
,"Los Angeles County, CA",6037,Assault by sharp object,X99,81,9786373,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,51,9786373,0.5
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,20,9786373,0.2
,"Orange County, CA",6059,Assault by handgun discharge,X93,23,2940055,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,24,2940055,0.8
,"Orange County, CA",6059,Assault by sharp object,X99,12,2940055,Unreliable
,"Riverside County, CA",6065,Assault by handgun discharge,X93,10,1931785,Unreliable
,"Riverside County, CA",6065,"Assault by rifle, shotgun and larger firearm discharge",X94,11,1931785,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,77,1931785,4
,"Riverside County, CA",6065,Assault by sharp object,X99,10,1931785,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,26,1360816,1.9
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,42,1360816,3.1
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1360816,Unreliable
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,12,1360816,Unreliable
,"San Bernardino County, CA",6071,Assault by handgun discharge,X93,15,1943924,Unreliable
