Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,11,660197,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,62,660197,9.4
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,13,281517,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,11,400129,Unreliable
,"Mobile County, AL",1097,"Assault by rifle, shotgun and larger firearm discharge",X94,11,400129,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,31,400129,7.7
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,19,223048,Unreliable
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,10,3175989,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,251,3175989,7.9
,"Maricopa County, AZ",4013,Assault by sharp object,X99,35,3175989,1.1
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,20,3175989,0.6
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,31,859280,3.6
,"Pima County, AZ",4019,Assault by sharp object,X99,12,859280,Unreliable
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,10,187747,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,362866,7.7
,"Alameda County, CA",6001,Assault by handgun discharge,X93,53,1469484,3.6
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,24,1469484,1.6
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,11,970952,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,28,970952,2.9
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,37,813021,4.6
,"Fresno County, CA",6019,Assault by sharp object,X99,14,813021,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,23,676574,3.4
,"Los Angeles County, CA",6037,Terrorism involving destruction of aircraft,U01.1,23,9626034,0.2
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,19,9626034,Unreliable
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,119,9626034,1.2
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,18,9626034,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,728,9626034,7.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,93,9626034,1
,"Los Angeles County, CA",6037,Assault by other specified means,Y08,11,9626034,Unreliable
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,29,9626034,0.3
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9626034,Unreliable
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,15,407082,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,21,2885457,0.7
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,22,2885457,0.8
,"Riverside County, CA",6065,Assault by handgun discharge,X93,21,1616634,1.3
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,30,1616634,1.9
,"Riverside County, CA",6065,Assault by sharp object,X99,15,1616634,Unreliable
,"Riverside County, CA",6065,Assault by unspecified means,Y09,12,1616634,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,13,1266257,Unreliable
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,24,1266257,1.9
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1266257,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,83,1760731,4.7
,"San Bernardino County, CA",6071,Assault by sharp object,X99,17,1760731,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,57,2869672,2
,"San Diego County, CA",6073,Assault by sharp object,X99,13,2869672,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,15,2869672,Unreliable
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,33,780865,4.2
,"San Francisco County, CA",6075,Assault by unspecified means,Y09,12,780865,Unreliable
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,28,591207,4.7
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,14,1688082,Unreliable
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,15,463761,Unreliable
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,12,373171,Unreliable
,"Ventura County, CA",6111,Assault by handgun discharge,X93,10,766689,Unreliable
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,12,502393,Unreliable
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,22,561976,3.9
,"Fairfield County, CT",9001,Terrorism involving destruction of aircraft,U01.1,51,889063,5.7
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,14,889063,Unreliable
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,27,862573,3.1
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,23,829875,2.8
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,13,506026,Unreliable
,"District of Columbia, DC",11001,Terrorism involving destruction of aircraft,U01.1,15,574504,Unreliable
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,137,574504,23.8
,"District of Columbia, DC",11001,Assault by sharp object,X99,26,574504,4.5
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,55,1662848,3.3
,"Broward County, FL",12011,Assault by unspecified means,Y09,11,1662848,Unreliable
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,48,790681,6.1
,"Duval County, FL",12031,Assault by sharp object,X99,12,790681,Unreliable
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,20,1028385,1.9
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,17,1028385,Unreliable
,"Hillsborough County, FL",12057,Assault by sharp object,X99,11,1028385,Unreliable
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,11,461037,Unreliable
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,127,2287458,5.6
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,18,2287458,Unreliable
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,24,2287458,1
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,35,931775,3.8
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,42,1160474,3.6
,"Pasco County, FL",12101,Assault by other and unspecified firearm discharge,X95,11,357653,Unreliable
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,20,923850,2.2
,"Pinellas County, FL",12103,Assault by unspecified means,Y09,10,923850,Unreliable
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,14,492917,Unreliable
,"St. Lucie County, FL",12111,Assault by other and unspecified firearm discharge,X95,12,198459,Unreliable
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,17,153548,Unreliable
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,23,234150,9.8
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,16,245327,Unreliable
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,17,623006,Unreliable
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,69,670900,10.3
,"Fulton County, GA",13121,Assault by handgun discharge,X93,15,820213,Unreliable
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,91,820213,11.1
,"Fulton County, GA",13121,Assault by other specified means,Y08,15,820213,Unreliable
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,15,620025,Unreliable
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,10,199443,Unreliable
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,40,5360562,0.7
,"Cook County, IL",17031,Assault by handgun discharge,X93,14,5360562,Unreliable
,"Cook County, IL",17031,"Assault by rifle, shotgun and larger firearm discharge",X94,13,5360562,Unreliable
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,584,5360562,10.9
,"Cook County, IL",17031,Assault by sharp object,X99,55,5360562,1
,"Cook County, IL",17031,Assault by other specified means,Y08,20,5360562,0.4
,"Cook County, IL",17031,Assault by unspecified means,Y09,49,5360562,0.9
,"Cook County, IL",17031,Sequelae of assault,Y87.1,11,5360562,Unreliable
,"Kane County, IL",17089,Assault by other and unspecified firearm discharge,X95,15,423975,Unreliable
,"Lake County, IL",17097,Assault by other and unspecified firearm discharge,X95,12,658986,Unreliable
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,20,256540,7.8
,"Winnebago County, IL",17201,Assault by other and unspecified firearm discharge,X95,11,280009,Unreliable
,"Allen County, IN",18003,Assault by other and unspecified firearm discharge,X95,16,334956,Unreliable
,"Lake County, IN",18089,"Assault by rifle, shotgun and larger firearm discharge",X94,11,484454,Unreliable
,"Lake County, IN",18089,Assault by other and unspecified firearm discharge,X95,84,484454,17.3
,"Marion County, IN",18097,"Assault by hanging, strangulation and suffocation",X91,19,865662,Unreliable
,"Marion County, IN",18097,Assault by other and unspecified firearm discharge,X95,74,865662,8.5
,"Marion County, IN",18097,Assault by other specified means,Y08,15,865662,Unreliable
,"St. Joseph County, IN",18141,Assault by other and unspecified firearm discharge,X95,16,265502,Unreliable
,"Sedgwick County, KS",20173,Assault by other and unspecified firearm discharge,X95,11,456887,Unreliable
,"Shawnee County, KS",20177,Assault by other and unspecified firearm discharge,X95,14,170320,Unreliable
,"Wyandotte County, KS",20209,Assault by other and unspecified firearm discharge,X95,36,158372,22.7
,"Fayette County, KY",21067,Assault by other and unspecified firearm discharge,X95,10,263990,Unreliable
,"Jefferson County, KY",21111,Assault by other and unspecified firearm discharge,X95,24,697159,3.4
,"Jefferson County, KY",21111,Assault by sharp object,X99,10,697159,Unreliable
,"Caddo Parish, LA",22017,Assault by other and unspecified firearm discharge,X95,28,249815,11.2
,"East Baton Rouge Parish, LA",22033,Assault by other and unspecified firearm discharge,X95,44,411666,10.7
,"Jefferson Parish, LA",22051,Assault by other and unspecified firearm discharge,X95,31,453154,6.8
,"Orleans Parish, LA",22071,Assault by other and unspecified firearm discharge,X95,169,487363,34.7
,"Tangipahoa Parish, LA",22105,Assault by other and unspecified firearm discharge,X95,11,101657,Unreliable
,"Anne Arundel County, MD",24003,Assault by other and unspecified firearm discharge,X95,15,498559,Unreliable
,"Baltimore County, MD",24005,Assault by other and unspecified firearm discharge,X95,30,762925,3.9
,"Montgomery County, MD",24031,Terrorism involving destruction of aircraft,U01.1,10,891764,Unreliable
,"Montgomery County, MD",24031,Assault by other and unspecified firearm discharge,X95,10,891764,Unreliable
,"Prince George's County, MD",24033,Terrorism involving destruction of aircraft,U01.1,23,817360,2.8
,"Prince George's County, MD",24033,Assault by other and unspecified firearm discharge,X95,99,817360,12.1
,"Prince George's County, MD",24033,Assault by sharp object,X99,15,817360,Unreliable
,"Baltimore city, MD",24510,Assault by other and unspecified firearm discharge,X95,163,640733,25.4
,"Baltimore city, MD",24510,Assault by sharp object,X99,18,640733,Unreliable
,"Baltimore city, MD",24510,Assault by blunt object,Y00,12,640733,Unreliable
,"Essex County, MA",25009,Terrorism involving destruction of aircraft,U01.1,13,730206,Unreliable
,"Middlesex County, MA",25017,Terrorism involving destruction of aircraft,U01.1,36,1473021,2.4
,"Norfolk County, MA",25021,Terrorism involving destruction of aircraft,U01.1,12,653137,Unreliable
,"Suffolk County, MA",25025,Terrorism involving destruction of aircraft,U01.1,16,700232,Unreliable
,"Suffolk County, MA",25025,Assault by other and unspecified firearm discharge,X95,39,700232,5.6
,"Suffolk County, MA",25025,Assault by sharp object,X99,13,700232,Unreliable
,"Genesee County, MI",26049,Assault by other and unspecified firearm discharge,X95,32,438584,7.3
,"Oakland County, MI",26125,Assault by other and unspecified firearm discharge,X95,22,1200425,1.8
,"Saginaw County, MI",26145,Assault by other and unspecified firearm discharge,X95,14,209460,Unreliable
,"Wayne County, MI",26163,"Assault by rifle, shotgun and larger firearm discharge",X94,18,2043167,Unreliable
,"Wayne County, MI",26163,Assault by other and unspecified firearm discharge,X95,341,2043167,16.7
,"Wayne County, MI",26163,Assault by sharp object,X99,37,2043167,1.8
,"Wayne County, MI",26163,Assault by other specified means,Y08,16,2043167,Unreliable
,"Hennepin County, MN",27053,Assault by other and unspecified firearm discharge,X95,32,1123375,2.8
,"Hennepin County, MN",27053,Assault by unspecified means,Y09,10,1123375,Unreliable
,"Ramsey County, MN",27123,Assault by other and unspecified firearm discharge,X95,13,512926,Unreliable
,"Harrison County, MS",28047,Assault by other and unspecified firearm discharge,X95,10,190922,Unreliable
,"Hinds County, MS",28049,Assault by handgun discharge,X93,25,248941,10
,"Jackson County, MS",28059,Assault by other and unspecified firearm discharge,X95,10,133069,Unreliable
,"Jackson County, MO",29095,Assault by handgun discharge,X93,35,657012,5.3
,"Jackson County, MO",29095,Assault by other and unspecified firearm discharge,X95,33,657012,5
,"Jackson County, MO",29095,Assault by sharp object,X99,12,657012,Unreliable
,"Jackson County, MO",29095,Assault by unspecified means,Y09,14,657012,Unreliable
,"St. Louis County, MO",29189,Assault by other and unspecified firearm discharge,X95,27,1016243,2.7
,"St. Louis city, MO",29510,Assault by other and unspecified firearm discharge,X95,90,343243,26.2
,"St. Louis city, MO",29510,Assault by sharp object,X99,17,343243,Unreliable
,"Douglas County, NE",31055,Assault by other and unspecified firearm discharge,X95,12,468125,Unreliable
,"Clark County, NV",32003,Assault by handgun discharge,X93,23,1460500,1.6
,"Clark County, NV",32003,Assault by other and unspecified firearm discharge,X95,71,1460500,4.9
,"Clark County, NV",32003,Assault by sharp object,X99,18,1460500,Unreliable
,"Clark County, NV",32003,Assault by unspecified means,Y09,17,1460500,Unreliable
,"Bergen County, NJ",34003,Terrorism involving destruction of aircraft,U01.1,124,888782,14
,"Camden County, NJ",34007,Assault by other and unspecified firearm discharge,X95,19,506326,Unreliable
,"Essex County, NJ",34013,Terrorism involving destruction of aircraft,U01.1,43,794312,5.4
,"Essex County, NJ",34013,Assault by other and unspecified firearm discharge,X95,80,794312,10.1
,"Essex County, NJ",34013,Assault by sharp object,X99,18,794312,Unreliable
,"Hudson County, NJ",34017,Terrorism involving destruction of aircraft,U01.1,116,616629,18.8
,"Hudson County, NJ",34017,Assault by other and unspecified firearm discharge,X95,11,616629,Unreliable
,"Hunterdon County, NJ",34019,Terrorism involving destruction of aircraft,U01.1,16,124500,Unreliable
,"Mercer County, NJ",34021,Terrorism involving destruction of aircraft,U01.1,23,353816,6.5
,"Mercer County, NJ",34021,Assault by other and unspecified firearm discharge,X95,11,353816,Unreliable
,"Middlesex County, NJ",34023,Terrorism involving destruction of aircraft,U01.1,58,761770,7.6
,"Monmouth County, NJ",34025,Terrorism involving destruction of aircraft,U01.1,122,620563,19.7
,"Morris County, NJ",34027,Terrorism involving destruction of aircraft,U01.1,53,473515,11.2
,"Ocean County, NJ",34029,Terrorism involving destruction of aircraft,U01.1,14,523357,Unreliable
,"Passaic County, NJ",34031,Terrorism involving destruction of aircraft,U01.1,22,493252,4.5
,"Somerset County, NJ",34035,Terrorism involving destruction of aircraft,U01.1,34,301671,11.3
,"Union County, NJ",34039,Terrorism involving destruction of aircraft,U01.1,50,526183,9.5
,"Union County, NJ",34039,Assault by other and unspecified firearm discharge,X95,14,526183,Unreliable
,"Bernalillo County, NM",35001,Assault by handgun discharge,X93,10,564241,Unreliable
,"Bernalillo County, NM",35001,Assault by other and unspecified firearm discharge,X95,13,564241,Unreliable
,"Bronx County, NY",36005,Terrorism involving destruction of aircraft,U01.1,92,1346555,6.8
,"Bronx County, NY",36005,Assault by other and unspecified firearm discharge,X95,120,1346555,8.9
,"Bronx County, NY",36005,Assault by sharp object,X99,43,1346555,3.2
,"Bronx County, NY",36005,Assault by unspecified means,Y09,18,1346555,Unreliable
,"Erie County, NY",36029,Assault by other and unspecified firearm discharge,X95,43,946515,4.5
,"Kings County, NY",36047,Terrorism involving destruction of aircraft,U01.1,292,2477252,11.8
,"Kings County, NY",36047,"Assault by hanging, strangulation and suffocation",X91,10,2477252,Unreliable
,"Kings County, NY",36047,Assault by other and unspecified firearm discharge,X95,168,2477252,6.8
,"Kings County, NY",36047,Assault by sharp object,X99,50,2477252,2
,"Kings County, NY",36047,Assault by other specified means,Y08,13,2477252,Unreliable
,"Kings County, NY",36047,Assault by unspecified means,Y09,21,2477252,0.8
,"Monroe County, NY",36055,Assault by other and unspecified firearm discharge,X95,28,739891,3.8
,"Nassau County, NY",36059,Terrorism involving destruction of aircraft,U01.1,241,1337086,18
