Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,11,114910,Unreliable
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,17,662845,Unreliable
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,49,662845,7.4
,"Jefferson County, AL",1073,Assault by sharp object,X99,12,662845,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,16,399323,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,18,399323,Unreliable
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,27,223548,12.1
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,15,164411,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,10,3004985,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,207,3004985,6.9
,"Maricopa County, AZ",4013,Assault by sharp object,X99,34,3004985,1.1
,"Maricopa County, AZ",4013,Assault by pushing or placing victim before moving object,Y02,14,3004985,Unreliable
,"Maricopa County, AZ",4013,Assault by other specified means,Y08,16,3004985,Unreliable
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,11,3004985,Unreliable
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,43,828905,5.2
,"Pima County, AZ",4019,Assault by sharp object,X99,10,828905,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,360312,7.8
,"Alameda County, CA",6001,Assault by handgun discharge,X93,45,1427114,3.2
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,14,1427114,Unreliable
,"Alameda County, CA",6001,Assault by sharp object,X99,14,1427114,Unreliable
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,14,936983,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,30,936983,3.2
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,18,789405,Unreliable
,"Kern County, CA",6029,Assault by handgun discharge,X93,11,655428,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,17,655428,Unreliable
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,31,9437290,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,78,9437290,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,15,9437290,Unreliable
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,585,9437290,6.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,69,9437290,0.7
,"Los Angeles County, CA",6037,By unspecified person,Y07.9,15,9437290,Unreliable
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,53,9437290,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9437290,Unreliable
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,12,396267,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,35,2815933,1.2
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,20,2815933,0.7
,"Orange County, CA",6059,Assault by sharp object,X99,13,2815933,Unreliable
,"Riverside County, CA",6065,Assault by handgun discharge,X93,19,1507912,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,30,1507912,2
,"Riverside County, CA",6065,Assault by sharp object,X99,15,1507912,Unreliable
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,32,1206659,2.7
,"Sacramento County, CA",6067,Assault by sharp object,X99,12,1206659,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,82,1681601,4.9
,"San Bernardino County, CA",6071,Assault by sharp object,X99,17,1681601,Unreliable
,"San Diego County, CA",6073,"Assault by hanging, strangulation and suffocation",X91,10,2789593,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,53,2789593,1.9
,"San Diego County, CA",6073,Assault by sharp object,X99,16,2789593,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,12,2789593,Unreliable
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,25,774716,3.2
,"San Francisco County, CA",6075,Assault by unspecified means,Y09,11,774716,Unreliable
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,24,552424,4.3
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,15,704538,Unreliable
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,17,1671498,Unreliable
,"Santa Clara County, CA",6085,Assault by sharp object,X99,13,1671498,Unreliable
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,12,438609,Unreliable
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,15,364708,Unreliable
,"Adams County, CO",8001,Assault by other and unspecified firearm discharge,X95,13,354146,Unreliable
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,30,548848,5.5
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,13,509044,Unreliable
,"Jefferson County, CO",8059,Assault by other and unspecified firearm discharge,X95,11,523325,Unreliable
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,31,877043,3.5
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,18,853039,Unreliable
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,20,820396,2.4
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,16,496079,Unreliable
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,140,570213,24.6
,"District of Columbia, DC",11001,Assault by sharp object,X99,23,570213,4
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,44,1594130,2.8
,"Broward County, FL",12011,Assault by unspecified means,Y09,15,1594130,Unreliable
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,44,773150,5.7
,"Duval County, FL",12031,Assault by sharp object,X99,10,773150,Unreliable
,"Duval County, FL",12031,Assault by other specified means,Y08,14,773150,Unreliable
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,21,984930,2.1
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,17,984930,Unreliable
,"Lake County, FL",12069,Assault by other and unspecified firearm discharge,X95,11,205123,Unreliable
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,10,431981,Unreliable
,"Marion County, FL",12083,Assault by other and unspecified firearm discharge,X95,11,254964,Unreliable
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,153,2220961,6.9
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,15,2220961,Unreliable
,"Miami-Dade County, FL",12086,Assault by other specified means,Y08,11,2220961,Unreliable
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,27,2220961,1.2
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,30,875681,3.4
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,42,1116913,3.8
,"Palm Beach County, FL",12099,Assault by unspecified means,Y09,15,1116913,Unreliable
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,18,917379,Unreliable
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,11,478047,Unreliable
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,22,154254,14.3
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,30,231630,13
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,14,229966,Unreliable
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,16,588871,Unreliable
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,44,656625,6.7
,"Fulton County, GA",13121,Assault by handgun discharge,X93,18,807365,Unreliable
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,82,807365,10.2
,"Fulton County, GA",13121,Assault by other specified means,Y08,10,807365,Unreliable
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,10,567569,Unreliable
,"Muscogee County, GA",13215,Assault by other and unspecified firearm discharge,X95,10,185734,Unreliable
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,13,199395,Unreliable
,"Honolulu County, HI",15003,Assault by other and unspecified firearm discharge,X95,16,878906,Unreliable
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,40,5365344,0.7
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,533,5365344,9.9
,"Cook County, IL",17031,Assault by sharp object,X99,71,5365344,1.3
,"Cook County, IL",17031,Assault by bodily force,Y04,10,5365344,Unreliable
,"Cook County, IL",17031,Assault by other specified means,Y08,28,5365344,0.5
,"Cook County, IL",17031,Assault by unspecified means,Y09,58,5365344,1.1
,"Kane County, IL",17089,Assault by other and unspecified firearm discharge,X95,18,396371,Unreliable
,"Peoria County, IL",17143,Assault by other and unspecified firearm discharge,X95,10,184042,Unreliable
,"St. Clair County, IL",17163,Assault by handgun discharge,X93,14,256201,Unreliable
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,13,256201,Unreliable
,"Allen County, IN",18003,Assault by other and unspecified firearm discharge,X95,14,328699,Unreliable
,"Lake County, IN",18089,Assault by other and unspecified firearm discharge,X95,84,484792,17.3
,"Marion County, IN",18097,Assault by handgun discharge,X93,13,857461,Unreliable
,"Marion County, IN",18097,Assault by other and unspecified firearm discharge,X95,72,857461,8.4
,"St. Joseph County, IN",18141,Assault by other and unspecified firearm discharge,X95,15,264952,Unreliable
,"Sedgwick County, KS",20173,Assault by other and unspecified firearm discharge,X95,15,451808,Unreliable
,"Wyandotte County, KS",20209,Assault by other and unspecified firearm discharge,X95,30,157980,19
,"Jefferson County, KY",21111,Assault by other and unspecified firearm discharge,X95,33,691879,4.8
,"Ascension Parish, LA",22005,Assault by other and unspecified firearm discharge,X95,12,74662,Unreliable
,"Caddo Parish, LA",22017,Assault by other and unspecified firearm discharge,X95,27,251876,10.7
,"East Baton Rouge Parish, LA",22033,Assault by other and unspecified firearm discharge,X95,49,412110,11.9
,"Jefferson Parish, LA",22051,Assault by other and unspecified firearm discharge,X95,28,457571,6.1
,"Orleans Parish, LA",22071,Assault by other and unspecified firearm discharge,X95,116,485511,23.9
,"Baltimore County, MD",24005,Assault by other and unspecified firearm discharge,X95,22,749425,2.9
,"Montgomery County, MD",24031,Assault by other and unspecified firearm discharge,X95,11,862350,Unreliable
